tax_year,geo_unit_type,geo_unit_geoid,jurisdiction_external_id,instrument_name,levy_amount,taxable_value_amount,tax_capacity_amount,median_bill_amount,bill_p25_amount,bill_p75_amount,parcel_count,household_count,effective_rate,notes
2016,city,2743000,census_place:2743000,City property tax levy,310000000,24000000000,,2350,1600,3400,145000,185000,0.0129,DEMO
2017,city,2743000,census_place:2743000,City property tax levy,320000000,24800000000,,2400,1650,3500,146000,186000,0.0129,DEMO
2018,city,2743000,census_place:2743000,City property tax levy,332000000,25600000000,,2450,1700,3600,147000,187000,0.0130,DEMO
2019,city,2743000,census_place:2743000,City property tax levy,344000000,26500000000,,2525,1750,3725,148000,188000,0.0130,DEMO
2020,city,2743000,census_place:2743000,City property tax levy,356000000,27000000000,,2600,1800,3850,149000,189000,0.0132,DEMO
2021,city,2743000,census_place:2743000,City property tax levy,368000000,27600000000,,2675,1850,3975,150000,190000,0.0133,DEMO
2022,city,2743000,census_place:2743000,City property tax levy,381000000,28300000000,,2750,1900,4100,151000,191000,0.0135,DEMO
2023,city,2743000,census_place:2743000,City property tax levy,395000000,29000000000,,2825,1950,4250,152000,192000,0.0136,DEMO
2024,city,2743000,census_place:2743000,City property tax levy,410000000,29800000000,,2900,2000,4400,153000,193000,0.0138,DEMO
2025,city,2743000,census_place:2743000,City property tax levy,425000000,30600000000,,3000,2050,4600,154000,194000,0.0139,DEMO
2016,city,2743000,county_fips:27053,County property tax levy,520000000,24000000000,,2650,1850,3900,145000,185000,0.0217,DEMO
2017,city,2743000,county_fips:27053,County property tax levy,535000000,24800000000,,2725,1900,4025,146000,186000,0.0216,DEMO
2018,city,2743000,county_fips:27053,County property tax levy,550000000,25600000000,,2800,1950,4150,147000,187000,0.0215,DEMO
2019,city,2743000,county_fips:27053,County property tax levy,565000000,26500000000,,2875,2000,4300,148000,188000,0.0213,DEMO
2020,city,2743000,county_fips:27053,County property tax levy,580000000,27000000000,,2950,2050,4450,149000,189000,0.0215,DEMO
2021,city,2743000,county_fips:27053,County property tax levy,595000000,27600000000,,3025,2100,4600,150000,190000,0.0216,DEMO
2022,city,2743000,county_fips:27053,County property tax levy,610000000,28300000000,,3100,2150,4750,151000,191000,0.0216,DEMO
2023,city,2743000,county_fips:27053,County property tax levy,625000000,29000000000,,3200,2200,4900,152000,192000,0.0216,DEMO
2024,city,2743000,county_fips:27053,County property tax levy,640000000,29800000000,,3300,2250,5050,153000,193000,0.0215,DEMO
2025,city,2743000,county_fips:27053,County property tax levy,655000000,30600000000,,3400,2300,5200,154000,194000,0.0214,DEMO
2016,city,2743000,school:mpls_public,School property tax levy,360000000,24000000000,,2450,1700,3550,145000,185000,0.0150,DEMO
2017,city,2743000,school:mpls_public,School property tax levy,370000000,24800000000,,2500,1750,3650,146000,186000,0.0149,DEMO
2018,city,2743000,school:mpls_public,School property tax levy,382000000,25600000000,,2550,1800,3750,147000,187000,0.0149,DEMO
2019,city,2743000,school:mpls_public,School property tax levy,395000000,26500000000,,2625,1850,3875,148000,188000,0.0149,DEMO
2020,city,2743000,school:mpls_public,School property tax levy,408000000,27000000000,,2700,1900,4000,149000,189000,0.0151,DEMO
2021,city,2743000,school:mpls_public,School property tax levy,420000000,27600000000,,2775,1950,4125,150000,190000,0.0152,DEMO
2022,city,2743000,school:mpls_public,School property tax levy,432000000,28300000000,,2850,2000,4250,151000,191000,0.0153,DEMO
2023,city,2743000,school:mpls_public,School property tax levy,445000000,29000000000,,2925,2050,4375,152000,192000,0.0153,DEMO
2024,city,2743000,school:mpls_public,School property tax levy,458000000,29800000000,,3000,2100,4500,153000,193000,0.0154,DEMO
2025,city,2743000,school:mpls_public,School property tax levy,472000000,30600000000,,3100,2150,4650,154000,194000,0.0154,DEMO

